step_time,radius,diffusion_coef,tx_count,tx_centers,molecule_counts,rx_center,from,"first_rotations(x,y,z)","second_rotations(x,y,z)"
9.999999974752427e-07,5,79.4000015258789,2,"[[4.680375943026597, -2.601699075919716, -8.391810388697781], [9.647802049743591, -10.520496137731316, -4.594550182229474]]","[10000, 10000]","[0, 0, 0]","[919, 1231]","[234.51995849609375, 57.457725524902344, 330.93145751953125]","[59.03462600708008, 162.15811157226562, 132.52232360839844]"
9.999999974752427e-07,5,79.4000015258789,2,"[[1.7370410346082086, 1.8232399426468244, 7.089929268076321], [-0.68632022975101, -9.007310619767626, 1.4739494624608562]]","[10000, 10000]","[0, 0, 0]","[681, 2049]","[239.57884216308594, 250.4457244873047, 226.38693237304688]","[322.4608154296875, 189.26707458496094, 85.64271545410156]"
9.999999974752427e-07,5,79.4000015258789,2,"[[6.314013190549642, 1.6939519951174475, -5.997215999800043], [-1.6301196929299169, 2.8979693177129833, -5.924744524386047]]","[10000, 10000]","[0, 0, 0]","[2312, 2184]","[56.1827507019043, 42.532798767089844, 15.017924308776855]","[318.44482421875, 60.698734283447266, 119.3579330444336]"
9.999999974752427e-07,5,79.4000015258789,2,"[[3.552388493114144, 3.6312504163398525, -11.911216127247929], [2.3869028084321657, -12.073651502968486, 0.9211414813249341]]","[10000, 10000]","[0, 0, 0]","[2948, 1459]","[2.315239906311035, 66.90267944335938, 45.62896728515625]","[162.32252502441406, 184.2803192138672, 101.18289947509766]"
9.999999974752427e-07,5,79.4000015258789,2,"[[-8.272103393240018, 7.990423402400709, -7.790583012081014], [-3.724293356397717, 1.6628611936719588, -10.827804097876292]]","[10000, 10000]","[0, 0, 0]","[234, 3075]","[269.96026611328125, 34.112892150878906, 135.9923095703125]","[196.8839874267578, 110.64058685302734, 335.939697265625]"
9.999999974752427e-07,5,79.4000015258789,2,"[[2.9800968489304602, 9.78889684336516, -8.429508037896518], [-3.8552314803686536, -3.348103378558927, -5.491392800022241]]","[10000, 10000]","[0, 0, 0]","[808, 904]","[117.01289367675781, 39.481689453125, 73.06784057617188]","[152.996826171875, 47.081993103027344, 220.97291564941406]"
9.999999974752427e-07,5,79.4000015258789,2,"[[-9.004267926640159, -5.73323679468124, -6.825196959408657], [0.5893099202884636, 5.7017788068320305, -5.739869500412196]]","[10000, 10000]","[0, 0, 0]","[1407, 614]","[34.62779235839844, 32.59433364868164, 212.48590087890625]","[214.26760864257812, 134.96145629882812, 264.09912109375]"
9.999999974752427e-07,5,79.4000015258789,2,"[[12.95711210726334, 1.8945561984966486, 3.519853274157192], [9.062524080359596, -1.165664039917761, 4.09569740028271]]","[10000, 10000]","[0, 0, 0]","[3185, 1910]","[69.24972534179688, 195.04525756835938, 188.31869506835938]","[186.2783660888672, 335.8559265136719, 352.67059326171875]"
9.999999974752427e-07,5,79.4000015258789,2,"[[0.6338690497308761, 6.192697431659663, -6.260552585918167], [12.476374807135016, 3.1840184145358634, 4.874737326471914]]","[10000, 10000]","[0, 0, 0]","[2916, 1107]","[140.5943145751953, 134.83709716796875, 264.15570068359375]","[263.2722473144531, 339.26416015625, 14.316515922546387]"
9.999999974752427e-07,5,79.4000015258789,2,"[[-0.121188378133055, -0.4001777627456242, 8.121151743046495], [-1.4414878337494208, -2.993769659029957, -7.175078919718988]]","[10000, 10000]","[0, 0, 0]","[1390, 1726]","[15.545525550842285, 272.94732666015625, 253.1517791748047]","[341.9973449707031, 114.84854125976562, 64.28937530517578]"
9.999999974752427e-07,5,79.4000015258789,2,"[[-0.8840567844846364, 9.63576516474879, 2.490268911891998], [2.7652901530463, -0.1237973819889787, 7.765771424662813]]","[10000, 10000]","[0, 0, 0]","[1721, 1762]","[224.67855834960938, 194.43240356445312, 275.2420654296875]","[72.6058349609375, 289.6182861328125, 357.4366760253906]"
